id,value
B0009.035,https://github.com/MBCProject/mbc-markdown/blob/main/anti-behavioral-analysis/virtual-machine-detection.md
B0009.036,https://github.com/MBCProject/mbc-markdown/blob/main/anti-behavioral-analysis/virtual-machine-detection.md
B0010,https://github.com/MBCProject/mbc-markdown/blob/main/anti-static-analysis/call-graph-generation-evasion.md
B0010.001,https://github.com/MBCProject/mbc-markdown/blob/main/anti-static-analysis/call-graph-generation-evasion.md
B0010.002,https://github.com/MBCProject/mbc-markdown/blob/main/anti-static-analysis/call-graph-generation-evasion.md
B0010.003,https://github.com/MBCProject/mbc-markdown/blob/main/anti-static-analysis/call-graph-generation-evasion.md
B0011,https://github.com/MBCProject/mbc-markdown/blob/main/execution/remote-commands.md
B0011.001,https://github.com/MBCProject/mbc-markdown/blob/main/execution/remote-commands.md
B0011.002,https://github.com/MBCProject/mbc-markdown/blob/main/execution/remote-commands.md
B0011.003,https://github.com/MBCProject/mbc-markdown/blob/main/execution/remote-commands.md
B0011.004,https://github.com/MBCProject/mbc-markdown/blob/main/execution/remote-commands.md
B0011.005,https://github.com/MBCProject/mbc-markdown/blob/main/execution/remote-commands.md
B0011.006,https://github.com/MBCProject/mbc-markdown/blob/main/execution/remote-commands.md
B0011.007,https://github.com/MBCProject/mbc-markdown/blob/main/execution/remote-commands.md
B0012,https://github.com/MBCProject/mbc-markdown/blob/main/anti-static-analysis/disassembler-evasion.md
B0012.001,https://github.com/MBCProject/mbc-markdown/blob/main/anti-static-analysis/disassembler-evasion.md
B0012.002,https://github.com/MBCProject/mbc-markdown/blob/main/anti-static-analysis/disassembler-evasion.md
B0012.003,https://github.com/MBCProject/mbc-markdown/blob/main/anti-static-analysis/disassembler-evasion.md
B0012.004,https://github.com/MBCProject/mbc-markdown/blob/main/anti-static-analysis/disassembler-evasion.md
B0012.005,https://github.com/MBCProject/mbc-markdown/blob/main/anti-static-analysis/disassembler-evasion.md
B0012.006,https://github.com/MBCProject/mbc-markdown/blob/main/anti-static-analysis/disassembler-evasion.md
B0012.007,https://github.com/MBCProject/mbc-markdown/blob/main/anti-static-analysis/disassembler-evasion.md
B0012.008,https://github.com/MBCProject/mbc-markdown/blob/main/anti-static-analysis/disassembler-evasion.md
B0013,https://github.com/MBCProject/mbc-markdown/blob/main/discovery/analysis-tool-discovery.md
B0013.001,https://github.com/MBCProject/mbc-markdown/blob/main/discovery/analysis-tool-discovery.md
B0013.002,https://github.com/MBCProject/mbc-markdown/blob/main/discovery/analysis-tool-discovery.md
B0013.003,https://github.com/MBCProject/mbc-markdown/blob/main/discovery/analysis-tool-discovery.md
B0013.004,https://github.com/MBCProject/mbc-markdown/blob/main/discovery/analysis-tool-discovery.md
B0013.005,https://github.com/MBCProject/mbc-markdown/blob/main/discovery/analysis-tool-discovery.md
B0013.006,https://github.com/MBCProject/mbc-markdown/blob/main/discovery/analysis-tool-discovery.md
B0013.007,https://github.com/MBCProject/mbc-markdown/blob/main/discovery/analysis-tool-discovery.md
B0013.008,https://github.com/MBCProject/mbc-markdown/blob/main/discovery/analysis-tool-discovery.md
B0013.009,https://github.com/MBCProject/mbc-markdown/blob/main/discovery/analysis-tool-discovery.md
B0013.010,https://github.com/MBCProject/mbc-markdown/blob/main/discovery/analysis-tool-discovery.md
B0014,https://github.com/MBCProject/mbc-markdown/blob/main/discovery/smtp-connection-discovery.md
B0016,https://github.com/MBCProject/mbc-markdown/blob/main/impact/compromise-data-integrity.md
B0018,https://github.com/MBCProject/mbc-markdown/blob/main/impact/resource-hijacking.md
B0018.001,https://github.com/MBCProject/mbc-markdown/blob/main/impact/resource-hijacking.md
B0018.002,https://github.com/MBCProject/mbc-markdown/blob/main/impact/resource-hijacking.md
B0019,https://github.com/MBCProject/mbc-markdown/blob/main/impact/manipulate-network-traffic.md
B0020,https://github.com/MBCProject/mbc-markdown/blob/main/execution/send-email.md
B0021,https://github.com/MBCProject/mbc-markdown/blob/main/execution/send-poisoned-text-message.md
B0022,https://github.com/MBCProject/mbc-markdown/blob/main/impact/remote-access.md
B0022.001,https://github.com/MBCProject/mbc-markdown/blob/main/impact/remote-access.md
B0023,https://github.com/MBCProject/mbc-markdown/blob/main/execution/install-additional-program.md
B0024,https://github.com/MBCProject/mbc-markdown/blob/main/execution/prevent-concurrent-execution.md
B0025,https://github.com/MBCProject/mbc-markdown/blob/main/execution/conditional-execution.md
B0025.001,https://github.com/MBCProject/mbc-markdown/blob/main/execution/conditional-execution.md
B0025.002,https://github.com/MBCProject/mbc-markdown/blob/main/execution/conditional-execution.md
B0025.003,https://github.com/MBCProject/mbc-markdown/blob/main/execution/conditional-execution.md
B0025.004,https://github.com/MBCProject/mbc-markdown/blob/main/execution/conditional-execution.md
B0025.005,https://github.com/MBCProject/mbc-markdown/blob/main/execution/conditional-execution.md
B0025.006,https://github.com/MBCProject/mbc-markdown/blob/main/execution/conditional-execution.md
B0025.007,https://github.com/MBCProject/mbc-markdown/blob/main/execution/conditional-execution.md
B0025.008,https://github.com/MBCProject/mbc-markdown/blob/main/execution/conditional-execution.md
B0026,https://github.com/MBCProject/mbc-markdown/blob/main/persistence/malicious-network-driver.md
B0027,https://github.com/MBCProject/mbc-markdown/blob/main/defense-evasion/alternative-installation-location.md
B0027.001,https://github.com/MBCProject/mbc-markdown/blob/main/defense-evasion/alternative-installation-location.md
B0027.002,https://github.com/MBCProject/mbc-markdown/blob/main/defense-evasion/alternative-installation-location.md
B0028,https://github.com/MBCProject/mbc-markdown/blob/main/collection/cryptocurrency.md
B0028.001,https://github.com/MBCProject/mbc-markdown/blob/main/collection/cryptocurrency.md
B0028.002,https://github.com/MBCProject/mbc-markdown/blob/main/collection/cryptocurrency.md
B0028.003,https://github.com/MBCProject/mbc-markdown/blob/main/collection/cryptocurrency.md
B0029,https://github.com/MBCProject/mbc-markdown/blob/main/defense-evasion/polymorphic-code.md
B0029.001,https://github.com/MBCProject/mbc-markdown/blob/main/defense-evasion/polymorphic-code.md
B0029.002,https://github.com/MBCProject/mbc-markdown/blob/main/defense-evasion/polymorphic-code.md
B0029.003,https://github.com/MBCProject/mbc-markdown/blob/main/defense-evasion/polymorphic-code.md
B0030,https://github.com/MBCProject/mbc-markdown/blob/main/command-and-control/c2-communication.md
B0030.001,https://github.com/MBCProject/mbc-markdown/blob/main/command-and-control/c2-communication.md
B0030.002,https://github.com/MBCProject/mbc-markdown/blob/main/command-and-control/c2-communication.md
B0030.003,https://github.com/MBCProject/mbc-markdown/blob/main/command-and-control/c2-communication.md
B0030.004,https://github.com/MBCProject/mbc-markdown/blob/main/command-and-control/c2-communication.md
B0030.005,https://github.com/MBCProject/mbc-markdown/blob/main/command-and-control/c2-communication.md
B0030.006,https://github.com/MBCProject/mbc-markdown/blob/main/command-and-control/c2-communication.md
B0030.008,https://github.com/MBCProject/mbc-markdown/blob/main/command-and-control/c2-communication.md
B0030.009,https://github.com/MBCProject/mbc-markdown/blob/main/command-and-control/c2-communication.md
B0030.010,https://github.com/MBCProject/mbc-markdown/blob/main/command-and-control/c2-communication.md
B0030.011,https://github.com/MBCProject/mbc-markdown/blob/main/command-and-control/c2-communication.md
B0030.012,https://github.com/MBCProject/mbc-markdown/blob/main/command-and-control/c2-communication.md
B0030.013,https://github.com/MBCProject/mbc-markdown/blob/main/command-and-control/c2-communication.md
B0030.014,https://github.com/MBCProject/mbc-markdown/blob/main/command-and-control/c2-communication.md
B0030.015,https://github.com/MBCProject/mbc-markdown/blob/main/command-and-control/c2-communication.md
B0030.016,https://github.com/MBCProject/mbc-markdown/blob/main/command-and-control/c2-communication.md
B0031,https://github.com/MBCProject/mbc-markdown/blob/main/command-and-control/domain-name-generation.md
B0032,https://github.com/MBCProject/mbc-markdown/blob/main/anti-static-analysis/executable-code-obfuscation.md
B0032.001,https://github.com/MBCProject/mbc-markdown/blob/main/anti-static-analysis/executable-code-obfuscation.md
B0032.002,https://github.com/MBCProject/mbc-markdown/blob/main/anti-static-analysis/executable-code-obfuscation.md
B0032.003,https://github.com/MBCProject/mbc-markdown/blob/main/anti-static-analysis/executable-code-obfuscation.md
